date,title,description,category,link_url,image_path,has_image,icon,delay
2018年6月,IGVC2018 総合優勝（ロボット国際大会）,3部門からなる自律走行ロボットの国際大会で3部門すべて受賞し、16年ぶり3度目の総合優勝を達成。,国際大会,https://www.ikko.k.hosei.ac.jp/~arl/joomla3703/index.php/igvc/igvc2018%E7%B5%90%E6%9E%9C%E5%A0%B1%E5%91%8A-2018%E5%B9%B46%E6%9C%884%E6%97%A5.html,assets/images/achievement-igvc-2018.jpg,true,,100
2025年2月,AI Agent Hackathon with Google Cloud 総合2位,教育に着目した課題を人に寄り添ったAIエージェントソリューションで高評価を獲得。,ハッカソン,https://zenn.dev/hackathons/2024-google-cloud-japan-ai-hackathon?tab=projects,assets/images/achievement-ai-hackathon-2025.jpg,true,,150
2024年7月,enXross Hackathon 2nd パートナー特別賞,XR初心者ながら、XR技術を活用したビジネスソリューション提案が社内外の専門家から高評価。,ハッカソン,https://note.com/enxross/n/n8faf0b017d92,assets/images/achievement-enxross-2024.jpg,true,,200
2018年12月,KDG HACKS 優秀賞,48時間のハッカソンで革新的なIoTソリューションを開発。ビジネス価値が評価。,ハッカソン,https://www.ikko.k.hosei.ac.jp/~arl/joomla3703/index.php/arl/kdg-hacks%E3%81%A7%E4%B8%AD%E6%9D%91-%E4%BA%AE%E5%A4%AA%E5%90%9B-m1-%E5%9B%9B%E6%9C%A8-%E5%AE%8F%E9%A6%99%E3%81%95%E3%82%93-m1-%E3%81%8C%E5%84%AA%E7%A7%80%E8%B3%9E%E3%82%92%E5%8F%97%E8%B3%9E%E3%81%97%E3%81%BE%E3%81%97%E3%81%9F.html,assets/images/achievement-kdg-hack.jpg,true,,250
2017年4月,ミスタードーナツ グッズ販売インセンティブ 全国4位,携帯販促の営業知識を活かし、そのノウハウを共有し、店舗歴代最高記録達成。,販売,#,,false,fas fa-award,300
2017年7月,ミスタードーナツ チームミーティング 東京地区 3位,東京地区の店舗間コンペティションでプレゼンターとして3位入賞。,チーム,#,,false,fas fa-users,350
